open_mower_ros  | [ERROR] [1776136703.319242723]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776136838.283360624]: NTRIP: RTCM data not received for 4.00 seconds
open_mower_ros  | [INFO] [1776136848.091132581]: NTRIP: connection attempt 43
open_mower_ros  | [ERROR] [1776137023.411097699]: [driver_gps] waited 15 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776137025.215553661]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776137039.185010467]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776137069.366927245]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776137093.654779749]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776137113.406183478]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776137199.043337816]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
